section,email,name,image,affiliation
General Chairs,general2027@ieeevr.org,Tim Dwyer,tim-dwyer.png,Monash University
General Chairs,general2027@ieeevr.org,Richard Skarbez,richard-skarbez.png,La Trobe University
General Chairs,general2027@ieeevr.org,Rob Teather,rob-teather.png,Monash University
Honorary Chairs,,Mark Billinghurst,mark-billinghurst.png,Adelaide University<br>University of Auckland
Honorary Chairs,,Bruce Thomas,bruce-thomas.png,Adelaide University (emeritus)
Technical Program Chairs,technicalprogram2027@ieeevr.org,Bobby Bodenheimer,bobby-bodenheimer.png,Vanderbilt
Technical Program Chairs,technicalprogram2027@ieeevr.org,Anthony Steed,anthony-steed.png,University College London
Paper Chairs,paper2027@ieeevr.org,Lonni Besançon,lonni-besancon.png,Linköping University
Paper Chairs,paper2027@ieeevr.org,Gerd Bruder,gerd-bruder.png,University of Central Florida
Paper Chairs,paper2027@ieeevr.org,Shohei Mori,shohei-mori.jpg,University of Stuttgart
Paper Chairs,paper2027@ieeevr.org,Misha Sra,misha-sra.png,"University of California, Santa Barbara"
Paper Chairs,paper2027@ieeevr.org,Xubo Yang,xubo-yang.png,Shanghai Jiao Tong University
Finance Chairs,finance2027@ieeevr.org,Mayra Barrera Machuca,mayra-barrera-machuca.png,University of Calgary
Finance Chairs,finance2027@ieeevr.org,Thuong Hoang,thuong-hoang.png,Deakin University
Exhibits and Sponsors Chairs,sponsors2027@ieeevr.org,Craig Anslow,craig-anslow.png,RMIT
Exhibits and Sponsors Chairs,sponsors2027@ieeevr.org,Jean Botev,jean-botev.png,University of Luxembourg
Exhibits and Sponsors Chairs,sponsors2027@ieeevr.org,Karlos Ishac,karlos-ishac.png,University of Sydney
Exhibits and Sponsors Chairs,sponsors2027@ieeevr.org,Linping Yuan,linping-yuan.png,Hong Kong University of Science and Technology
Future Conference Format Chairs,futureconf2027@ieeevr.org,Mashhuda Glencross,mashhuda-glencross.png,University of Queensland
Future Conference Format Chairs,futureconf2027@ieeevr.org,Rob Lindeman,rob-lindeman.png,University of Canterbury
Future Conference Format Chairs,futureconf2027@ieeevr.org,Greg Welch,greg-welch.png,University of Central Florida
Posters Chairs,poster2027@ieeevr.org,Anil Ufuk Batmaz,anil-ufuk-batmaz.png,Concordia University
Posters Chairs,poster2027@ieeevr.org,Andrea Bönsch,andrea-boensch.png,RWTH Aachen University
Posters Chairs,poster2027@ieeevr.org,Gun Lee,gun-lee.png,Adelaide University
Posters Chairs,poster2027@ieeevr.org,Hai-Ning Liang,hai-ning-liang.png,Hong Kong University of Science and Technology
Posters Chairs,poster2027@ieeevr.org,Steve Palmisano,steve-palmisano.png,University of Wollongong
Publication Chairs,publication2027@ieeevr.org,Saeed Boorboor,saeed-boorboor.png,University of Illinois-Chicago
Publication Chairs,publication2027@ieeevr.org,Andrew Cunningham,andrew-cunningham.png,Adelaide University
Publication Chairs,publication2027@ieeevr.org,James Walsh,james-walsh.png,Adelaide University
Publication Chairs,publication2027@ieeevr.org,Yidan Zhang,yidan-zhang.png,Monash University
Publication Chairs,publication2027@ieeevr.org,Hyungil (Hy) Kim,hyungil-kim.jpg,University of Illinois Chicago
Awards Chairs,awards2027@ieeevr.org,Nilufar Baghaei,nilufar-baghaei.png,University of Queensland
Awards Chairs,awards2027@ieeevr.org,Taehyun (TJ) Rhee,taehyun-rhee.png,University of Melbourne
Awards Chairs,awards2027@ieeevr.org,Eduardo Velloso,eduardo-velloso.png,University of Sydney
XR Gallery Chairs,xrgallery2027@ieeevr.org,Jean-Rémy Chardonnet,jean-remy-chardonnet.png,Arts et Métiers Institute of Technology
XR Gallery Chairs,xrgallery2027@ieeevr.org,Yue Li,yue-li.png,Xi'an Jiaotong-Liverpool University
XR Gallery Chairs,xrgallery2027@ieeevr.org,Heide Lukosch,heide-lukosch.png,University of Canterbury
XR Gallery Chairs,xrgallery2027@ieeevr.org,Oscar Raby Piccardo,oscar-raby-piccardo.png,RMIT
XR Gallery Chairs,xrgallery2027@ieeevr.org,Anthony Scavarelli,anthony-scavarelli.png,Toronto Metropolitan University
Demos Chairs,demo2027@ieeevr.org,Matt Adcock,matt-adcock.png,CSIRO
Demos Chairs,demo2027@ieeevr.org,Ellie Ebrahimi,ellie-ebrahimi.png,University of North Carolina at Wilmington
Demos Chairs,demo2027@ieeevr.org,Geoffrey Gorisse,geoffrey-gorisse.png,Arts et Métiers Institute of Technology
Demos Chairs,demo2027@ieeevr.org,Allison Jing,allison-jing.png,RMIT
3DUI Contest Chairs,3dui2027@ieeevr.org,Benjamin Tag,benjamin-tag.png,UNSW
3DUI Contest Chairs,3dui2027@ieeevr.org,Daniel Zielasko,daniel-zielasko.png,Denmark Technical University
3DUI Contest Chairs,3dui2027@ieeevr.org,Francielly (Elly) Rodrigues,francielly-rodrigues.png,Virginia Tech
Workshops Chairs,workshop2027@ieeevr.org,Andrew Irlitti,andrew-irlitti.png,Deakin University
Workshops Chairs,workshop2027@ieeevr.org,Joe Liu,joe-liu.png,Monash University
Workshops Chairs,workshop2027@ieeevr.org,Francisco Ortega,francisco-ortega.png,Colorado State University
Workshops Chairs,workshop2027@ieeevr.org,Tim Weissker,tim-weissker.png,RWTH Aachen University
Tutorials Chairs,tutorial2027@ieeevr.org,Adélaïde Genay,adelaide-genay.png,University of Melbourne
Tutorials Chairs,tutorial2027@ieeevr.org,Colin Groth,colin-groth.png,New York University
Tutorials Chairs,tutorial2027@ieeevr.org,Thammatip Piumsomboom,thammatip-piumsomboom.png,University of Canterbury
Panels Chairs,panel2027@ieeevr.org,Arindam Dey,arindam-dey.png,Embute Labs
Panels Chairs,panel2027@ieeevr.org,Regis Kopper,regis-kopper.png,Iowa State University
"Diversity, Equity, Inclusion, and Accessibility Chairs",deia2027@ieeevr.org,Manuela Chessa,manuela-chessa.png,University of Genoa
"Diversity, Equity, Inclusion, and Accessibility Chairs",deia2027@ieeevr.org,Mengxing Li,mengxing-li.png,Monash University
"Diversity, Equity, Inclusion, and Accessibility Chairs",deia2027@ieeevr.org,Vicky McArthur,vicky-mcarthur.png,Monash University
Student Volunteer Chairs,studentvolunteers2027@ieeevr.org,Eric DeMarbre,eric-demarbre.png,Monash University
Student Volunteer Chairs,studentvolunteers2027@ieeevr.org,Samad Roohi,samad-roohi.png,La Trobe University<br>University of Melbourne
Student Volunteer Chairs,studentvolunteers2027@ieeevr.org,Carlos Alfredo Tirado Cortés,carlos-alfredo-tirado-cortes.png,University of Sydney
Mentorship and Training Activities Chairs,mentorship2027@ieeevr.org,Tabitha Peck,tabitha-peck.png,Davidson College
Mentorship and Training Activities Chairs,mentorship2027@ieeevr.org,Missie Smith,missie-smith.png,Auburn University
Doctoral Consortium Chairs,doctoralconsortium2027@ieeevr.org,Kunal Gupta,kunal-gupta.png,University of Auckland
Doctoral Consortium Chairs,doctoralconsortium2027@ieeevr.org,Dooyoung Kim,dooyoung-kim.png,La Trobe University
Doctoral Consortium Chairs,doctoralconsortium2027@ieeevr.org,Edgar Rojas-Muñoz,edgar-rojas-munoz.png,Texas A&M University
XR Faculty Chairs,,TBD,,
Web Chairs,web2027@ieeevr.org,Yohan Hmaiti,yohan-hmaiti.png,University of Central Florida
Web Chairs,web2027@ieeevr.org,Zhidian (Kim) Lin,zhidian-lin.png,RMIT
Web Chairs,web2027@ieeevr.org,Nels Numan,nels-numan.png,University College London
Publicity Chairs,publicity2027@ieeevr.org,Yi (Owen) Wang,yi-wang.png,Deakin University
Social Events Chairs,socialevents2027@ieeevr.org,Merry Hoang,merry-hoang.png,Monash University
Social Events Chairs,socialevents2027@ieeevr.org,Rob Lindeman,rob-lindeman.png,University of Canterbury
Ombudspeople,ombudspeople2027@ieeevr.org,Aleshia Hayes,aleshia-hayes.png,Southern Methodist University
Ombudspeople,ombudspeople2027@ieeevr.org,Jen-Shuo Liu,jen-shuo-liu.png,Columbia University
