Firstname,Familyname,Middleinitial,Lab,Institution,Country
Ashu,Adhikari,,School of Interactive Arts and Technology,Simon Fraser University,Canada
Sahar,Aseeri,,Computer Science and Engineering,University of Minnesota,United States
Sean,Banerjee,,,Wright State University,United States
Natasha,Banerjee,Kholgade,,Wright State University,United States
Brett,Benda,,Department of Computer & Information Science & Engineering,University of Florida,United States
Pierre,Bourdin-Kreitz,,Computer Science  Multimedia and Telecommunications Department (EIMT),Universitat Oberta de Catalunya,Spain
Praneeth,Chakravarthula,,Computer Science,UNC Chapel Hill,United States
Mathieu,Chollet,,School of Computing Science,University of Glasgow,United Kingdom
Tor-Salve,Dalsgaard,,Department of Computer Science,University of Copenhagen,Denmark
Shakiba,Davari,,Center for Human-Computer Interaction,Virginia Tech,United States
Melanie,Derksen,,,TU Dortmund University,Germany
Maxime,Dumonteil,,Univ Rennes,Inria  CNRS  IRISA,France
Nico,Feld,,,Trier University,Germany
Francesco,Ferrise,,Department of Mechanical Engineering,Politecnico di MIlano,Italy
Louis,Fong Wee Teck,,Visual Intelligence,Institute for Infocomm Research,Singapore
Tim,Gerrits,,,RWTH Aachen University,Germany
David,Gilbert,,Visual Computing Institute,RWTH Aachen,Germany
Alexander,Giovannelli,,Center for Human-Computer Interaction,Virginia Tech,United States
Yann,Glemarec,,INRIA,University of Rennes  CNRS  IRISA,France
Alexandre,Gomes de Siqueira,,Virtual Environments Research Group,Florida University,United States
Colin,Groth,,,TU Braunschweig,Germany
Shihui,Guo,,,Software School,China
Dongyun,Han,,Computer Science,Utah State University,United States
Jeanne,Hecquard,,,Inria,France
HyungSeok,Kim,,VR Lab,Department of Computer Engineering  Konkuk University,Korea  Republic of
Constantin,Kleinbeck,,Human-Centered Computing and Extended Reality  TUM School of Medicine,Technical University of Munich,Germany
Jens,Koenen,,Visual Computing Institute,RWTH Aachen University,Germany
Julian,Kreimeier,,Human-Centered Computing and Extended Reality Lab,Technical University of Munich,Germany
Marcel,Kruger,,Visual Computing Institute,RWTH Aachen University,Germany
Eike,Langbehn,,,University of Applied Sciences Hamburg,Germany
Francois,Le Jeune,,D5/HYBRID,Universite de Rennes  Inria  CNRS  IRISA,France
Flavien,Lebrun,,IBISC Lab,Univ Evry  Universite, Paris Saclay
Flavien,Lecuyer,,iCube,Universite de Strasbourg,France
Ding,Li,,,Adobe Research,United States
Sheng,Li,,Computer Science and Technology,Peking University,China
Lee,Lisle,,Department of Computer Science,Virginia Tech,United States
Vito,Manghisi,M,Polythecnic Institute of Bari,University,Italy
Julien,Manson,,University of Rennes,Inria  IRISA,France
Alexander,Marquardt,,Bonn-Rhein-Sieg University of Applied Sciences,Institute of Visual Computing,Germany
Jordan,Martin,,,Inria,France
Frank,Maurer,,Department of Computer Science,University of Calgary,Canada
Timo,Menzel,,Computer Graphics Group,TU Dortmund University,Germany
Mark,Miller,Roman,Computer Science,Illinois Institute of Technology,United States
Yann,Moullec,,,Univ Rennes  Inria  IRISA,France
Tongyu,Nie,,Department of Computer Science & Engineering,University of Minnesota,United States
Guang-Yu,Nie,,,North Carolina State University,United States
Wei Tsang,Ooi,,Computer Science,National University of Singapore,Singapore
Ye,Pan,,,Shanghai Jiaotong University ,China
Iana,Podkosova,,Interactive Media Systems,TU Wien,Austria
Mathieu,Risy,,IRISA,University of Rennes,France
Tom,ROY,,,INRIA,France
Daniel,Rupp,,Visual Computing Institute,RWTH Aachen University,Germany
Sony,Saint-Auret,,,Univ. Rennes  Inria  INSA  CNRS,France
Hannah,Schieber,,Human-Centered Computing and Extended Reality,Technical University of Munich (TUM),Germany
Florian,Schier,,Immersive Experience Lab,Technische Universitat Dresden,Germany
Agata Marta,Soccini,,Computer Science Dpt,Universit degli Studi di Torino,Italy
Tianyu,Song,, Chair for Computer Aided Medical Procedures,Technical University of Munich,Germany
Weitao,Song,,School of Optics and Photonics,Beijing Institute of Technology,China
Zhe,Sun,,,Tsinghua University,China
Markku,Suomalainen,,Intelligent Robotics Research Group,VTT Technical Research Centre of Finland,Finland
Jonathan,Sutton,,,University of Copenhagen,Denmark
Ibrahim,Tahmid,,Computer Science,Virginia Tech,United States
Vincent,Tourre,,Ambiances Architectures Urbanities  CRENAU,Ecole Centrale de Nantes,France
Shu,Wei,,Department of Psychiatry,University of Oxford,United Kingdom
Tim,Weissker,,Visual Computing Institute,RWTH Aachen University,Germany
Niall,Williams,L.,,University of Maryland  College Park,United States
Erik,Wolf,,Human-Computer Interaction Group,University of Wurzburg,Germany
Kyung Ho,Won,,,Inria,France
Xinxing,Xia,,Institute for Media Innovation,Nanyang Technological University,Singapore
Shihong,Xia,,,Institute of Computing Technology  CAS,China
Kevin,Yu,,,medPhoton GmbH,Austria
Zhenliang,Zhang,,,Beijing Institute for General Artificial Intelligence,China
Katja,Zibrek,,,INRIA,France
