Num,Firstname,Familyname,Subcommittee,Middleinitial,Namesuffix,Affil1Institution,Affil1City,Affil1State,Affil1Country
1,Gerd,Bruder,Associate Program Chairs,,,University of Central Florida,,,USA
2,Rebecca,Fribourg,Associate Program Chairs,,,Ecole Centrale de Nantes,,,France
3,Joseph,Gabbard,Associate Program Chairs,,,Virginia Tech,,,USA
4,Yuta,Itoh,Associate Program Chairs,,,The University of Tokyo,,,Japan
5,Maud,Marchal,Associate Program Chairs,,,"Univ. Rennes, INSA, IRISA",,,France
6,John,Quarles,Associate Program Chairs,,,University of Texas at San Antonio,,,USA
7,Ana,Serrano,Associate Program Chairs,,,Universidad de Zaragoza,,,Spain
8,Xubo,Yang,Associate Program Chairs,,,Shanghai Jiao Tong University,,,China
9,Lonni,Besançon,Supercommittee,,,Linköping University,,,Sweden
10,Bobby,Bodenheimer,Supercommittee,,,Vanderbilt University,,,USA
11,Steven,Feiner,Supercommittee,,,Columbia University,,,USA
12,Anderson,Maciel,Supercommittee,,,Federal University of Rio Grande do Sul,,,Brazil
13,Ryan P.,McMahan,Supercommittee,,,Virginia Tech,,,USA
14,Shohei,Mori,Supercommittee,,,University of Stuttgart,,,Germany
15,Amela,Sadagic,Supercommittee,,,Naval Postgraduate School (NPS),,,USA
16,Richard,Skarbez,Supercommittee,,,La Trobe University,,,Australia
17,Wolfgang,Stuerzlinger,Supercommittee,,,Simon Fraser University,,,Canada
18,Matias,Volonte,Supercommittee,,,Clemson University,,,USA
19,Lili,Wang,Supercommittee,,,Beihang University,,,China
20,Daniel,Zielasko,Supercommittee,,,University of Trier,,,Germany
1,Maki,Sugimoto,Committee,,,Keio University,Yokohama,Kanagawa,Japan
2,Huawei,Tu,Committee,,,La Trobe University,Melbourne,,Australia
3,Kevin,Desai,Committee,,,The University of Texas at San Antonio,San Antonio,Texas,United States
4,Ludovic,Hoyet,Committee,,,Inria,Rennes,,France
5,Bret,Jackson,Committee,,,Macalester College,Saint Paul,Minnesota,United States
6,Wen-Chieh,Lin,Committee,,,National Yang Ming Chiao Tung University,Hsinchu,,Taiwan
7,Adalberto,Simeone,Committee,L.,,KU Leuven,Leuven,,Belgium
8,Yifan (Evan),Peng,Committee,,,Stanford University,Stanford,California,United States
9,Andrea Stevenson,Won,Committee,,,Cornell University,Ithaca,New York,United States
10,Belen,Masia,Committee,,,Universidad de Zaragoza,Zaragoza,,Spain
11,Scott,Kuhl,Committee,A.,,Michigan Technological University,Houghton,Michigan,United States
12,Ehsan,Azimi,Committee,,,Johns Hopkins University,Baltimore,Maryland,United States
13,Francisco,Ortega,Committee,R.,,Colorado State University,Ft. Collins,Colorado,United States
14,Takuji,Narumi,Committee,,,the University of Tokyo,Tokyo,,Japan
15,Isaac,Cho,Committee,,,Utah State University,Logan,Utah,United States
16,Victoria,Interrante,Committee,,,University of Minnesota,Minneapolis,Minnesota,United States
17,Cassidy,Nelson,Committee,R.,,Ohio University,Athens,Ohio,United States
18,Ming,Lin,Committee,C.,,University of Maryland at College Park,College Park,Maryland,United States
19,Gordon,Wetzstein,Committee,,,Stanford University,Stanford,California,United States
20,Natasha,Banerjee,Committee,K.,,Wright State University,Dayton,Ohio,United States
